,,,,,,,,,,,,,,,Total Utilization (Gbps),"2,022"
,IP Utilization,,,,,,,,,,,,,,Lit Capacity (Gbps),"5,820"
,"Total Active Capacity
(Gbps)",UTILIZATION,,,,,,,,,,,,,% Utilization (Peak),34.74%
IPOP,5820,32.03%,,,,,,,,,,,,,Useable Capacity (Gbps),"3,770"
,,,,,,,,,,,,,,,% Utilization (Peak),53.62%
SITE,CABLE,A Side,Port A Side,Z Side,Port B Side,BEARER ID,Globe Circuit ID,Handover Document,Trunk Type,Link,Total Capacity (Mbps),Total Capacity (Gbps),Utilization,Remarks,Available Capacity (Gbps),Utilization (Gbps)
HONGKONG,C2C,NASGBU-DRRTR-001,1/1/c10,HKGMEG-BRRTR-003,4/1/c1,GLB-C2C-MNL-HK-4-100G,IH-ATZ-2219,BTG HKG IPL 9597950,IP,NSG-HKG3-2,100000,100,0%,Down due to C2C Outage,0,0.00000
HONGKONG,C2C,NASGBU-DRRTR-001,10/1/1,HKGMEG-BRRTR-003,1/1/c1,GLB-C2C-MNL-HK-1-100G,IH-ASZ-8800,BTG HKG IPL 9597950,IP,NSG-HKG3-3,100000,100,0%,Down due to C2C Outage,0,0.00000
HONGKONG,C2C,NASGBU-DRRTR-001,5/1/c6,HKGMEG-BRRTR-003,6/1/c1,GLB-C2C-MNL-HK-6-100G,IH-ATZ-2221,BTG HKG IPL 9597950,IP,NSG-HKG3-4,100000,100,0%,Down due to C2C Outage,0,0.00000
HONGKONG,C2C,NASGBU-DRRTR-001,5/2/c2,HKGMEG-BRRTR-003,7/1/c1,GLB-C2C-MNL-HK-7-100G,IH-ATZ-2222,BTG HKG IPL 9597950,IP,NASDR1-HKGBR3-5,100000,100,0%,Down due to C2C Outage,0,0.00000
HONGKONG,C2C,NASGBU-DRRTR-001,8/1/c1,HKGMEG-BRRTR-003,5/1/c1,GLB-C2C-MNL-HK-5-100G,IH-ATZ-2220,BTG HKG IPL 9597950,IP,NASDR1-HKGBR3-6,100000,100,0%,Down due to C2C Outage,0,0.00000
HONGKONG,C2C,NASGBU-DRRTR-002,1/1/2,HKGMEG-BRRTR-003,2/2/c1,GLB-C2C-MNL-HK-2-100G,IH-ASZ-8801,BTG HKG IPL 9597950,IP,NASDR2-HKGBR3-8,100000,100,0%,Down due to C2C Outage,0,0.00000
HONGKONG,C2C,NASGBU-DRRTR-002,2/1/3,HKGMEG-BRRTR-003,2/2/c3,GLB-C2C-MNL-HK-3-100G,IH-ASZ-8802,BTG HKG IPL 9597950,IP,NASDR2-HKGBR3-9,100000,100,0%,Down due to C2C Outage,0,0.00000
HONGKONG,C2C,NASGBU-DRRTR-002,8/1/c5,HKGMEG-BRRTR-003,4/2/c3,GLB-C2C-MNL-HK-9-100G,IH-ATZ-7470,BTG HKG IPL 9597950,IP,NASDR2-HKGBR3-10,100000,100,0%,Down due to C2C Outage,0,0.00000
HONGKONG,C2C,NASGBU-DRRTR-002,8/1/c6,HKGMEG-BRRTR-003,4/2/c4,GLB-C2C-MNL-HK10-100G,IH-ATZ-7471,BTG HKG IPL 9597950,IP,NASDR2-HKGBR3-11,100000,100,0%,Down due to C2C Outage,0,0.00000
HONGKONG,C2C,NASGBU-DRRTR-001,4/2/2 ,HKGMEG-BRRTR-003,1/1/c5,GLB-C2C-MNL-HK-11-100G,IH-AUZ-3740,BTG HKG IPL 9597950,IP,NASDR2-HKGBR3-12,100000,100,0%,Down due to C2C Outage,0,0.00000
HONGKONG,C2C,NASGBU-DRRTR-003,9/1/c2,HKGHK1-BRRTR-001,1/1/c1,GLB-C2C-MNL-HK-13-100G,"IH-AUZ-9209
",BTG HKG IPL 9597950,IP,NASDR3-HKGHK1,100000,100,0%,Down due to C2C Outage,0,0.00000
HONGKONG,C2C,NASGBU-DRRTR-003,1/1/c15,HKGMEG-BRRTR-004,9/1/c1 ,GLB-C2C-MNL-HK-14-100G,IH-AUZ-9992,BTG HKG IPL 9597950,IP,NASDR-HKGBR4,100000,100,0%,Down due to C2C Outage,0,0.00000
HONGKONG,SJC,NASGBU-DRRTR-001,5/1/3,HKGMEG-BRRTR-002,1/2/4,NSB/GT-MGI/GT DWA009,,A132148,IP,NSG-HKG10,10000,10,25%,,10,2.49365
HONGKONG,SJC,NASGBU-DRRTR-001,4/1/1,HKGMEG-BRRTR-002,7/1/2,NSB/GT-MGI/GT 64S003LAN,,  A131102,IP,NSG-HKG11,10000,10,24%,,10,2.41635
HONGKONG,SJC,NASGBU-DRRTR-001,4/1/32,HKGMEG-BRRTR-002,5/2/1,NSB/GT-MGI/GT 64S010LAN,,  A131464,IP,NSG-HKG12,10000,10,25%,,10,2.52798
HONGKONG,SJC,NASGBU-DRRTR-001,4/1/33,HKGMEG-BRRTR-002,5/2/3,NSB/GT-MGI/GT 64S011LAN,,  A131465,IP,NSG-HKG13,10000,10,24%,,10,2.42623
HONGKONG,SJC,NASGBU-DRRTR-001,4/1/34,HKGMEG-BRRTR-002,4/1/1,NSB/GT-MGI/GT 64S006OTU4,,  A131654,IP,NSG-HKG14,10000,10,24%,,10,2.42100
HONGKONG,SJC,NASGBU-DRRTR-001,5/1/10,HKGMEG-BRRTR-002,5/2/4,NSB/GT-MGI/GT 64S012LAN,,  A131466,IP,NSG-HKG15,10000,10,28%,,10,2.76340
HONGKONG,SJC,NASGBU-DRRTR-001,5/1/14,HKGMEG-BRRTR-002,10/2/2,NSB/GT-MGI/GT 64S022LAN,,  A131577,IP,NSG-HKG16,10000,10,25%,,10,2.48628
HONGKONG,SJC,NASGBU-DRRTR-001,5/1/23,HKGMEG-BRRTR-002,4/1/3,NSB/GT-MGI/GT 64S006OTU4,,  A131654,IP,NSG-HKG17,10000,10,26%,,10,2.56630
HONGKONG,SJC,NASGBU-DRRTR-001,5/1/24,HKGMEG-BRRTR-002,4/1/4,NSB/GT-MGI/GT 64S006OTU4,,  A131654,IP,NSG-HKG18,10000,10,24%,,10,2.41094
HONGKONG,SJC,NASGBU-DRRTR-001,5/1/36,HKGMEG-BRRTR-002,9/2/1,NSB/GT-MGI/GT 64S016LAN,,  A131571,IP,NSG-HKG19,10000,10,23%,,10,2.30865
HONGKONG,SJC,NASGBU-DRRTR-001,5/1/37,HKGMEG-BRRTR-002,9/2/2,NSB/GT-MGI/GT 64S017LAN,,  A131572,IP,NSG-HKG20,10000,10,24%,,10,2.40493
HONGKONG,SJC,NASGBU-DRRTR-001,5/1/38,HKGMEG-BRRTR-002,9/2/3,NSB/GT-MGI/GT 64S018LAN,,  A131573,IP,NSG-HKG21,10000,10,23%,,10,2.31964
HONGKONG,SJC,NASGBU-DRRTR-001,5/1/39,HKGMEG-BRRTR-002,9/2/4,NSB/GT-MGI/GT 64S019LAN,,   A131574,IP,NSG-HKG22,10000,10,24%,,10,2.37383
HONGKONG,SJC,NASGBU-DRRTR-001,5/1/40,HKGMEG-BRRTR-002,9/2/5,NSB/GT-MGI/GT 64S020LAN,,  A131575,IP,NSG-HKG23,10000,10,24%,,10,2.36150
HONGKONG,SJC,NASGBU-DRRTR-001,5/1/6,HKGMEG-BRRTR-002,2/2/9,NSB/GT-MGI/GT 64S001LAN,,  A130992,IP,NSG-HKG24,10000,10,24%,,10,2.40905
HONGKONG,SJC,NASGBU-DRRTR-001,4/1/4,HKGMEG-BRRTR-002,6/2/4,,,,IP,NSG-HKG25,10000,10,24%,,10,2.42047
HONGKONG,SJC,NASGBU-DRRTR-001,4/1/19,HKGMEG-BRRTR-002,6/2/7,NSB/GT-MGI/GT 64S009LAN ,,  A131362,IP,NSG-HKG26,10000,10,24%,,10,2.39092
HONGKONG,SJC,NASGBU-DRRTR-001,4/1/20,HKGMEG-BRRTR-002,6/2/8,NSB/GT-MGI/GT 64S002LAN ,,  A131361,IP,NSG-HKG27,10000,10,23%,,10,2.31524
HONGKONG,SJC,NASGBU-DRRTR-001,6/2/1,HKGMEG-BRRTR-002,4/1/5,NSB/GT-MGI/GT 64S006OTU4,,  A131654,IP,NSG-HKG28,10000,10,24%,,10,2.36517
HONGKONG,SJC,NASGBU-DRRTR-002,3/1/15,HKGMEG-BRRTR-002,1/2/3,NSB/GT-MGI/GT 64S004LAN,,  A131150 ,IP,NSG-HKG29,10000,10,23%,,10,2.31103
HONGKONG,SJC,NASGBU-DRRTR-002,3/1/27,HKGMEG-BRRTR-002,9/1/5,NSB/GT-MGI/GT 64S006OTU4,,  A131654,IP,NSG-HKG30,10000,10,25%,,10,2.51013
HONGKONG,SJC,NASGBU-DRRTR-002,3/1/28,HKGMEG-BRRTR-002,10/2/16,NSB/GT-MGI/GT 64S006OTU4,,  A131654,IP,NSG-HKG31,10000,10,24%,,10,2.38913
HONGKONG,SJC,NASGBU-DRRTR-002,3/1/30,HKGMEG-BRRTR-002,5/2/9,NSB/GT-MGI/GT 64S007LAN DLS 2-3,,  A131248,IP,NSG-HKG32,10000,10,25%,,10,2.49408
HONGKONG,SJC,NASGBU-DRRTR-002,3/1/31,HKGMEG-BRRTR-002,5/2/10,NSB/GT-MGI/GT 64S008LAN DLS 2-3,,  A131249,IP,NSG-HKG33,10000,10,24%,,10,2.37592
HONGKONG,SJC,NASGBU-DRRTR-002,3/1/32,HKGMEG-BRRTR-002,5/2/8,NSB/GT-MGI/GT 64S006LAN DLS 2-3 ,,  A131247,IP,NSG-HKG34,10000,10,24%,,10,2.36616
HONGKONG,SJC,NASGBU-DRRTR-002,4/1/15,HKGMEG-BRRTR-002,2/1/4,NSB/GT-MGI/GT 64S005LAN,,  A131151,IP,NSG-HKG35,10000,10,24%,,10,2.44513
HONGKONG,SJC,NASGBU-DRRTR-002,4/1/25,HKGMEG-BRRTR-002,7/1/8,NSB/GT-MGI/GT 64S005OTU4,,  A131609,IP,NSG-HKG36,10000,10,25%,,10,2.50180
HONGKONG,SJC,NASGBU-DRRTR-002,4/1/35,HKGMEG-BRRTR-002,10/2/1,NSB/GT-MGI/GT 64S021LAN,,  A131576,IP,NSG-HKG37,10000,10,25%,,10,2.49515
HONGKONG,SJC,NASGBU-DRRTR-002,4/1/38,HKGMEG-BRRTR-002,10/2/3,NSB/GT-MGI/GT 64S023LAN,,  A131578,IP,NSG-HKG38,10000,10,25%,,10,2.53851
HONGKONG,SJC,NASGBU-DRRTR-002,4/1/39,HKGMEG-BRRTR-002,10/2/4,NSB/GT-MGI/GT 64S024LAN,,   A131579,IP,NSG-HKG39,10000,10,26%,,10,2.61007
HONGKONG,SJC,NASGBU-DRRTR-002,4/1/23,HKGMEG-BRRTR-002,4/2/9,EQX/GT-NSB/GT  64S003LAN,,A131365,IP,NSG-HKG40,10000,10,26%,,10,2.56837
HONGKONG,SJC,NASGBU-DRRTR-002,4/1/24,HKGMEG-BRRTR-002,4/2/10,,,,IP,NSG-HKG41,10000,10,24%,,10,2.44319
HONGKONG,SJC,NASGBU-DRRTR-001,3/2/4,HKGMEG-BRRTR-003,2/1/c4,NSB/GT-MGI/GT 64S007GE100L  ,IH-ATZ-1509, A131943,IP,NSG-HKG3-1,100000,100,16%,,100,16.10346
HONGKONG,SJC,NASGBU-DRRTR-002,8/1/c1,HKGMEG-BRRTR-002,1/1/c5,GLB-C2C-MNL-HK-5-100G,IH-ATZ-2220,BTG HKG IPL 9597950,IP,NASDR1-HKGBR3-7,100000,100,98%,,100,98.34046
HONGKONG,SJC,NASGBU-DRRTR-001,2/2/c5,HKGMEG-BRRTR-003,1/2/c4,NSB/GT-MGI/GT 64S008GE100L,IH-AUZ-8342,A132244,IP,NASDR2-HKGBR3-13,100000,100,99%,,100,98.52644
HONGKONG,SJC,NASGBU-DRRTR-003,1/1/c13,HKGMEG-BRRTR-003,2/1/c5,NSB/GT-MGI/GT 64S010GE100L,IH-AUZ-9306,,IP,NSG to HKG 3-16,100000,100,97%,Restoral Cap.,100,97.43550
HONGKONG,SJC,NASGBU-DRRTR-003,2/2/c1,HKGMEG-BRRTR-003,6/1/c5,NSB/GT-MGI/GT 64S011GE100L,IH-AUZ-9307,,IP,NSG to HKG 3-17,100000,100,98%,Restoral Cap.,100,97.87150
HONGKONG,SJC,NASGBU-DRRTR-001,1/2/c2,HKGMEG-BRRTR-003,7/1/c2,NSB/GT-MGI/GT 64S012GE100L,IH-AUZ-9308,,IP,NSG to HKG 3-18,100000,100,0%,Reallocated to BRU-HAAS IPL,0,0.00000
HONGKONG,TGNIA,BLLTRS-DRRTR-001,4/2/2,HKGMEG-BRRTR-002,1/1/10,,,,IP,BAL-HKG 6,10000,10,23%,,10,2.25750
HONGKONG,TGNIA,BLLTRS-DRRTR-001,3/1/9,HKGMEG-BRRTR-002,6/2/6,FJH-P5G-NP12,,,IP,BAL-HKG 7,10000,10,23%,,10,2.27765
HONGKONG,TGNIA,BLLTRS-DRRTR-001,3/2/1,HKGMEG-BRRTR-002,7/1/7,FJH-P5G NP18,,,IP,BAL-HKG 8,10000,10,18%,,10,1.83626
HONGKONG,TGNIA,BLLTRS-DRRTR-001,3/2/4,HKGMEG-BRRTR-002,5/2/7,FJH-P5G NP28,,,IP,BAL-HKG 9,10000,10,19%,,10,1.93482
HONGKONG,TGNIA,BLLTRS-DRRTR-001,4/1/10,HKGMEG-BRRTR-002,7/1/6,FJH-P5G-NP13,,,IP,BAL-HKG 10,10000,10,18%,,10,1.84942
HONGKONG,TGNIA,BLLTRS-DRRTR-001,4/1/9,HKGMEG-BRRTR-002,6/2/9,FJHX-P5GX-NP7,,,IP,BAL-HKG 11,10000,10,19%,,10,1.91696
HONGKONG,TGNIA,BLLTRS-DRRTR-001,4/2/9,HKGMEG-BRRTR-002,2/1/1,A07YJ-A07YL NP1,IH-AQZ-4697,,IP,BAL-HKG 12,10000,10,24%,,10,2.35091
HONGKONG,TGNIA,BLLTRS-DRRTR-001,9/1/1,HKGMEG-BRRTR-002,5/1/9,A07YJ-A07YL NP3,IH-AQZ-4702,,IP,BAL-HKG 13,10000,10,22%,,10,2.23916
HONGKONG,TGNIA,BLLTRS-DRRTR-001,9/1/2,HKGMEG-BRRTR-002,10/1/7,A07YJ-A07YL NP5,IH-AQZ-4708,,IP,BAL-HKG 14,10000,10,19%,,10,1.90724
HONGKONG,TGNIA,BLLTRS-DRRTR-002,3/1/10,HKGMEG-BRRTR-002,6/2/5,FJH-P5G NP16,,,IP,BAL-HKG 15,10000,10,21%,,10,2.05393
HONGKONG,TGNIA,BLLTRS-DRRTR-002,3/1/11,HKGMEG-BRRTR-002,6/2/10,FJH-P5G NP17,,,IP,BAL-HKG 16,10000,10,23%,,10,2.27798
HONGKONG,TGNIA,BLLTRS-DRRTR-002,3/1/12,HKGMEG-BRRTR-002,10/2/10,FJH-P5G NP9,,,IP,BAL-HKG 17,10000,10,23%,,10,2.25891
HONGKONG,TGNIA,BLLTRS-DRRTR-002,3/1/15,HKGMEG-BRRTR-002,2/2/10,A07YJ-A07YL NP2,IH-AQZ-4699,,IP,BAL-HKG 18,10000,10,20%,,10,1.96825
HONGKONG,TGNIA,BLLTRS-DRRTR-002,4/1/10,HKGMEG-BRRTR-002,5/2/5,FJH-P5G NP30,,,IP,BAL-HKG 19,10000,10,19%,,10,1.86951
HONGKONG,TGNIA,BLLTRS-DRRTR-002,4/1/11,HKGMEG-BRRTR-002,5/2/6,FJH-P5G NP29,,,IP,BAL-HKG 20,10000,10,22%,,10,2.15888
HONGKONG,TGNIA,BLLTRS-DRRTR-002,4/1/2,HKGMEG-BRRTR-002,5/2/2,A07YJ-A07YL NP4,IH-AQZ-4705,,IP,BAL-HKG 21,10000,10,23%,,10,2.29012
HONGKONG,TGNIA,BLLTRS-DRRTR-001,1/1/C5,HKGMEG-BRRTR-003,1/2/C3,A07YJ-A07YL NP11,IH-ATZ-0799 ,1189158,IP,BAL to HKG3,100000,100,73%,,100,72.65929
HONGKONG,TGNIA,BLLTRS-DRRTR-001,1/2/c1,HKGMEG-BRRTR-003,6/2/c1,JY100-ZU100-NP2,IH-ATZ-0799 ,1302424,IP,BAL-HKGBR3-14,100000,100,67%,,100,67.49094
HONGKONG,TGNIA,BLLTRS-DRRTR-001,8/2/c1,HKGMEG-BRRTR-003,2/2/c5,JY100-ZU100-NP3,IH-ATZ-0799 ,1302426,IP,BAL-HKGBR3-15,100000,100,65%,,100,65.43651
JAPAN,TGNIA,BLLTRS-DRRTR-001,3/1/4,JPNEQX-BRRTR-001,1/2/8,G5SX-P5GX NP5 IH-AMZ-9065,,,IP,BAL-JPN 5,10000,10,53%,,10,5.26027
JAPAN,TGNIA,BLLTRS-DRRTR-001,3/2/8,JPNEQX-BRRTR-001,7/1/3,P5G-RH9 NP2,,OO1039370,IP,BAL-JPN 6,10000,10,51%,,10,5.09711
JAPAN,TGNIA,BLLTRS-DRRTR-001,3/1/7,JPNEQX-BRRTR-001,2/2/8,A07YJ-A07YO NP4,,OO1114299,IP,BAL-JPN 7,10000,10,55%,,10,5.49504
JAPAN,TGNIA,BLLTRS-DRRTR-001,3/2/5,JPNEQX-BRRTR-001,4/2/1,A07YJ-A07YO NP5,,OO1114300,IP,BAL-JPN 8,10000,10,52%,,10,5.24682
JAPAN,TGNIA,BLLTRS-DRRTR-001,4/2/8,JPNEQX-BRRTR-001,8/2/1,,,,IP,BAL-JPN 9,10000,10,54%,,10,5.38859
JAPAN,TGNIA,BLLTRS-DRRTR-001,3/2/9,JPNEQX-BRRTR-001,7/2/1,,,,IP,BAL-JPN 10,10000,10,79%,,10,7.92577
JAPAN,TGNIA,BLLTRS-DRRTR-001,3/2/3,JPNEQX-BRRTR-001,2/2/2,GHS-GJ1 NP3 (BH) + GJ1X-P5GX NP8,,,IP,BAL-JPN 11,10000,10,82%,,10,8.17336
JAPAN,TGNIA,BLLTRS-DRRTR-001,4/1/3,JPNEQX-BRRTR-001,2/1/2,BCM-GHS-NP3,,,IP,BAL-JPN 12,10000,10,81%,,10,8.06501
JAPAN,TGNIA,BLLTRS-DRRTR-001,4/1/4,JPNEQX-BRRTR-001,1/2/9,G5S-P5G NP4 IH-AMZ-9070,,,IP,BAL-JPN 13,10000,10,82%,,10,8.23522
JAPAN,TGNIA,BLLTRS-DRRTR-001,4/1/5,JPNEQX-BRRTR-001,1/2/10,G5S-P5G NP3 IH-AMZ-9071,,,IP,BAL-JPN 14,10000,10,80%,,10,7.99674
JAPAN,TGNIA,BLLTRS-DRRTR-001,4/1/7,JPNEQX-BRRTR-001,1/2/5,GHS-GJ1 NP4 (BH) + GJ1X-P5GX NP9,,,IP,BAL to JPN 15,10000,10,0%,Down - Legacy Capacity,0,0.00000
JAPAN,TGNIA,BLLTRS-DRRTR-001,9/1/3,JPNEQX-BRRTR-001,4/1/4,A07YJ-A07YO NP1,,,IP,BAL to JPN 19,10000,10,55%,,10,5.48250
JAPAN,TGNIA,BLLTRS-DRRTR-001,9/1/4,JPNEQX-BRRTR-001,4/2/4,GHS-GJ1 NP4 (BH) + GJ1X-P5GX NP9,,,IP,BAL to JPN  20,10000,10,51%,,10,5.09785
JAPAN,TGNIA,BLLTRS-DRRTR-002,3/1/21,JPNEQX-BRRTR-001,4/1/10,A07YJ-A0DUQ NP7,IH-ATZ-0597,1189100,IP,BAL to JPN  21,10000,10,48%,,10,4.81831
JAPAN,TGNIA,BLLTRS-DRRTR-002,4/1/12,JPNEQX-BRRTR-001,7/2/8,A07YJ-A0DUQ NP8,IH-ATZ-0598,1189101,IP,BAL to JPN 16,10000,10,0%,Down,0,0.00000
JAPAN,TGNIA,BLLTRS-DRRTR-002,9/1/10,JPNEQX-BRRTR-001,8/1/10,A07YJ-A0DUQ NP9,IH-ATZ-0599,1189152,IP,BAL to JPN 17,10000,10,0%,Down,0,0.00000
JAPAN,TGNIA,BLLTRS-DRRTR-002,9/1/11,JPNEQX-BRRTR-001,8/2/8,A07YJ-A0DUQ NP10,IH-ATZ-0600,1189153,IP,BAL to JPN 18,10000,10,0%,Down,0,0.00000
JAPAN,TGNIA,BLLTRS-DRRTR-002,5/2/c6,JPNTY2-BRRTR-001,2/1/1,A06KJ-ZU100-NP1,IH-AVZ-0935,,IP,BAL  to JPN TY2-1,100000,100,78%,,100,77.61944
JAPAN,SJC,NASGBU-DRRTR-001,4/1/7,JPNEQX-BRRTR-001,1/1/7,NSB/GT-CHK/GT 64S001LAN,,  A131001,IP,NSG-JPN 4,10000,10,51%,,10,5.11105
JAPAN,SJC,NASGBU-DRRTR-001,4/1/8,JPNEQX-BRRTR-001,1/1/8,NSB/GT-CHK/GT 64S002LAN,,  A130998 ,IP,NSG-JPN 5,10000,10,51%,,10,5.12831
